County,population,,,,,,,,,,,,,
Adair     ,"8,243",,,,,,,,,,,,,
Adams,"4,482",,,,,,,,,,,,,
Allamakee,"14,675",,,,,,,,,,,,,
Appanoose,"13,721",,,,,,,,,,,,,
Audubon,"6,830",,,,,,,,,,,,,
Benton,"25,308",,,,,,,,,,,,,
Black Hawk,"128,012",,,,,,,,,,,,,
Boone,"26,224",,,,,,,,,,,,,
Bremer,"23,325",,,,,,,,,,,,,
Buchanan,"21,093",,,,,,,,,,,,,
Buena Vista,"20,411",,,,,,,,,,,,,
Butler,"15,305",,,,,,,,,,,,,
Calhoun,"11,115",,,,,,,,,,,,,
Carroll,"21,421",,,,,,,,,,,,,
Cass,"14,684",,,,,,,,,,,,,
Cedar,"18,187",,,,,,,,,,,,,
Cerro Gordo,"46,447",,,,,,,,,,,,,
Cherokee,"13,035",,,,,,,,,,,,,
Chickasaw,"13,095",,,,,,,,,,,,,
Clarke,"9,133",,,,,,,,,,,,,
Clay,"17,372",,,,,,,,,,,,,
Clayton,"18,678",,,,,,,,,,,,,
Clinton,"50,149",,,,,,,,,,,,,
Crawford,"16,942",,,,,,,,,,,,,
Dallas,"40,750",,,,,,,,,,,,,
Davis,"8,541",,,,,,,,,,,,,
Decatur,"8,689",,,,,,,,,,,,,
Delaware,"18,404",,,,,,,,,,,,,
Des Moines,"42,351",,,,,,,,,,,,,
Dickinson,"16,424",,,,,,,,,,,,,
Dubuque,"89,143",,,,,,,,,,,,,
Emmet,"11,027",,,,,,,,,,,,,
Fayette,"22,008",,,,,,,,,,,,,
Floyd,"16,900",,,,,,,,,,,,,
Franklin,"10,704",,,,,,,,,,,,,
Fremont,"8,010",,,,,,,,,,,,,
Greene,"10,366",,,,,,,,,,,,,
Grundy,"12,369",,,,,,,,,,,,,
Guthrie,"11,353",,,,,,,,,,,,,
Hamilton,"16,438",,,,,,,,,,,,,
Hancock,"12,100",,,,,,,,,,,,,
Hardin,"18,812",,,,,,,,,,,,,
Harrison,"15,666",,,,,,,,,,,,,
Henry,"20,336",,,,,,,,,,,,,
Howard,"9,932",,,,,,,,,,,,,
Humboldt,"10,381",,,,,,,,,,,,,
Ida,"7,837",,,,,,,,,,,,,
Iowa,"15,671",,,,,,,,,,,,,
Jackson,"20,296",,,,,,,,,,,,,
Jasper,"37,213",,,,,,,,,,,,,
Jefferson,"16,181",,,,,,,,,,,,,
Johnson,"111,006",,,,,,,,,,,,,
Jones,"20,221",,,,,,,,,,,,,
Keokuk,"11,400",,,,,,,,,,,,,
Kossuth,"17,163",,,,,,,,,,,,,
Lee,"38,052",,,,,,,,,,,,,
Linn,"191,701",,,,,,,,,,,,,
Louisa,"12,183",,,,,,,,,,,,,
Lucas,"9,422",,,,,,,,,,,,,
Lyon,"11,763",,,,,,,,,,,,,
Madison,"14,019",,,,,,,,,,,,,
Mahaska,"22,335",,,,,,,,,,,,,
Marion,"32,052",,,,,,,,,,,,,
Marshall,"39,311",,,,,,,,,,,,,
Mills,"14,547",,,,,,,,,,,,,
Mitchell,"10,874",,,,,,,,,,,,,
Monona,"10,020",,,,,,,,,,,,,
Monroe,"8,016",,,,,,,,,,,,,
Montgomery,"11,771",,,,,,,,,,,,,
Muscatine,"41,722",,,,,,,,,,,,,
O'Brien,"15,102",,,,,,,,,,,,,
Osceola,"7,003",,,,,,,,,,,,,
Page,"16,976",,,,,,,,,,,,,
Palo Alto,"10,147",,,,,,,,,,,,,
Plymouth,"24,849",,,,,,,,,,,,,
Pocahontas,"8,662",,,,,,,,,,,,,
Polk,"374,601",,,,,,,,,,,,,
Pottawattamie,"87,704",,,,,,,,,,,,,
Poweshiek,"18,815",,,,,,,,,,,,,
Ringgold,"5,469",,,,,,,,,,,,,
Sac,"11,529",,,,,,,,,,,,,
Scott,"158,668",,,,,,,,,,,,,
Shelby,"13,173",,,,,,,,,,,,,
Sioux,"31,589",,,,,,,,,,,,,
Story,"79,981",,,,,,,,,,,,,
Tama,"18,103",,,,,,,,,,,,,
Taylor,"6,958",,,,,,,,,,,,,
Union,"12,309",,,,,,,,,,,,,
Van Buren,"7,809",,,,,,,,,,,,,
Wapello,"36,051",,,,,,,,,,,,,
Warren,"40,671",,,,,,,,,,,,,
Washington,"20,670",,,,,,,,,,,,,
Wayne,"6,730",,,,,,,,,,,,,
Webster,"40,235",,,,,,,,,,,,,
Winnebago,"11,723",,,,,,,,,,,,,
Winneshiek,"21,310",,,,,,,,,,,,,
Woodbury,"103,877",,,,,,,,,,,,,
Worth,"7,909",,,,,,,,,,,,,
Wright,"14,334",,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
